orderid,orderdate,unitcost,price,orderqty,costofsales,productname,brandname,state
2993,12/16/2012,27.07879681,40.55,13,352.0243585,NT Wireless Bluetooth Stereo Headphones E302 Yellow,Northwind Traders,Taraba
2653,10/17/2014,57.99177341,99.99,13,753.8930544,NT Wireless Bluetooth Stereo Headphones M402 Black,Northwind Traders,Kano
3140,03-01-12,52.74487157,67.4,4,210.9794863,WWI Stereo Bluetooth Headphones E1000 Blue,Wide World Importers,Ekiti
3247,06-01-13,17.37810208,67.4,10,173.7810208,WWI Stereo Bluetooth Headphones E1000 Blue,Wide World Importers,Katsina
2846,3/15/2013,10.13874705,67.4,10,101.3874705,WWI Stereo Bluetooth Headphones E1000 Black,Wide World Importers,Ogun
2867,05-02-14,13.69210435,120,10,136.9210435,WWI Wireless Bluetooth Stereo Headphones M170 Pink,Wide World Importers,Oyo
1943,11-12-13,29.08767282,249.99,8,232.7013826,WWI Wireless Transmitter and Bluetooth Headphones X250 Blue,Wide World Importers,Nasarawa
3303,6/29/2014,10.82899862,249.99,10,108.2899862,WWI Wireless Transmitter and Bluetooth Headphones X250 Red,Wide World Importers,Bauchi
2254,5/23/2014,106.2255339,119.99,24,2549.412814,"Adventure Works 13 Color TV E25 White""""",Adventure Works,Sokoto
2119,12/26/2011,43.58882363,143.4,4,174.3552945,"Adventure Works 19 Color Digital TV E35 White""""",Adventure Works,Adamawa
3028,5/23/2012,35.54907026,349.95,10,355.4907026,"Adventure Works 20 LCD HDTV M120 Black""""",Adventure Works,Kano
2188,04-03-12,115.2823171,349.95,10,1152.823171,"Adventure Works 20 LCD HDTV M120 Brown""""",Adventure Works,Imo
2010,3/19/2014,384.6149182,499.99,10,3846.149182,"Adventure Works 32 LCD HDTV M130 Brown""""",Adventure Works,Nasarawa
3370,3/30/2014,8.860613872,12.99,20,177.2122774,"Adventure Works 15.6 LCD TV M130W Silver""""",Adventure Works,Ondo
2306,11/14/2014,131.2304648,2899.99,12,1574.765578,"Adventure Works 52 LCD HDTV X590 White""""",Adventure Works,Kwara
2091,3/21/2014,292.6664755,1184.97,12,3511.997706,"Adventure Works 40 LCD HDTV M690 Brown""""",Adventure Works,Bauchi
3410,12-04-13,665.8640225,1184.97,13,8656.232293,"Adventure Works 40 LCD HDTV M690 Brown""""",Adventure Works,Cross River
2683,12/17/2013,296.0030752,469.97,8,2368.024602,"Adventure Works 26 720p LCD HDTV M140 Black""""",Adventure Works,Bauchi
2861,12/23/2011,37.00592277,119,9,333.0533049,SV 16xDVD M320 Black,Southridge Video,Ekiti
3222,8/22/2014,94.10034381,119,9,846.9030943,SV 16xDVD M320 Black,Southridge Video,Ondo
2244,12-10-11,57.51906384,56.9,24,1380.457532,SV 8xDVD E130 Black,Southridge Video,Nasarawa
2526,6/18/2013,11.84455171,56.9,12,142.1346205,SV 8xDVD E130 Black,Southridge Video,Imo
1183,3/23/2012,40.68510464,66,6,244.1106278,SV 8xDVD E140 Black,Southridge Video,Kwara
1195,07-03-14,66.32652558,66,24,1591.836614,SV 8xDVD E140 Black,Southridge Video,Adamawa
3391,4/13/2012,13.00891742,66,5,65.04458712,SV 8xDVD E140 Black,Southridge Video,Plateau
1821,07-08-13,64.76143431,119,12,777.1372117,SV 16xDVD M320 Silver,Southridge Video,Abia
2759,10/30/2012,76.17561195,119,13,990.2829554,SV 16xDVD M320 Silver,Southridge Video,Oyo
2388,9/24/2014,40.1621313,116.9,10,401.621313,SV 16xDVD M350 Silver,Southridge Video,Zamfara 
7608,2/23/2013,60.52475891,126.9,9,544.7228302,SV 16xDVD M360 Silver,Southridge Video,Osun
22,02-02-13,45.45092171,126.9,9,409.0582954,SV 16xDVD M360 Silver,Southridge Video,Anambra
1357,1/17/2012,33.32768355,126.9,12,399.9322026,SV 16xDVD M360 Silver,Southridge Video,Zamfara 
2355,8/26/2012,95.65901037,126.9,12,1147.908124,SV 16xDVD M360 Silver,Southridge Video,Kano
3127,2/26/2012,83.30262938,126.9,9,749.7236644,SV 16xDVD M360 Silver,Southridge Video,Gombe
2170,3/22/2014,173.4906838,199.9,10,1734.906838,SV 8xDVD E130 Silver,Southridge Video,Gombe
821,7/22/2013,50.50583355,66,12,606.0700027,SV 8xDVD E140 Silver,Southridge Video,Delta
2458,1/22/2012,53.44606691,66,4,213.7842677,SV 8xDVD E140 Silver,Southridge Video,Zamfara 
7694,11-08-14,479.6246082,599,8,3836.996865,Litware Home Theater System 4.1 Channel M410 Black,Litware,Benue
757,02-12-13,145.6543921,599,9,1310.889529,Litware Home Theater System 4.1 Channel M410 Black,Litware,Gombe
2814,9/14/2013,571.6554301,699,10,5716.554301,Litware Home Theater System 5.1 Channel M511 Black,Litware ,Plateau
7455,1/25/2012,241.0970144,269.9,8,1928.776115,Litware Home Theater System 2.1 Channel E211 Black,Litware ,Akwa Ibom
583,5/17/2012,150.5676598,269.9,5,752.8382991,Litware Home Theater System 2.1 Channel E211 Black,Litware ,Bayelsa
432,11/17/2012,271.3645277,299.9,4,1085.458111,Litware Home Theater System 2.1 Channel E212 Black,Litware ,Cross River
905,4/22/2012,267.1351772,299.9,10,2671.351772,Litware Home Theater System 2.1 Channel E212 Black,Litware ,Adamawa
1817,11/18/2012,93.93248902,299.9,4,375.7299561,Litware Home Theater System 2.1 Channel E212 Black,Litware ,Adamawa
2397,8/20/2013,198.2677153,299.9,10,1982.677153,Litware Home Theater System 2.1 Channel E212 Black,Litware ,Adamawa
2601,1/17/2013,54.35335261,299.9,9,489.1801735,Litware Home Theater System 2.1 Channel E212 Black,Litware ,Taraba
2975,9/14/2014,50.10025377,569,20,1002.005075,Litware Home Theater System 4.1 Channel M412 Black,Litware ,Kwara
2999,12/19/2013,320.5631828,699,13,4167.321376,Litware Home Theater System 5.1 Channel M512 Black,Litware ,Sokoto
2591,03-02-14,71.00988057,95.95,9,639.0889252,Litware Home Theater System 5.1 Channel M513 Black,Litware ,Imo
206,07-09-14,185.226451,799,10,1852.26451,Litware Home Theater System 7.1 Channel M710 Black,Litware ,Imo
1001,10/16/2012,163.5139925,799,8,1308.11194,Litware Home Theater System 7.1 Channel M710 Black,Litware ,Taraba
2335,6/24/2013,206.7114515,799,12,2480.537418,Litware Home Theater System 7.1 Channel M710 Black,Litware ,Anambra
43,1/26/2013,207.9934914,599,9,1871.941422,Litware Home Theater System 5.1 Channel M514 Black,Litware ,Sokoto
421,7/29/2013,236.8639054,599,12,2842.366865,Litware Home Theater System 5.1 Channel M514 Black,Litware ,Edo
2293,11/26/2013,495.6504896,599,13,6443.456365,Litware Home Theater System 5.1 Channel M514 Black,Litware ,Kwara
1530,3/22/2013,126.4390528,569,10,1264.390528,Litware Home Theater System 5.1 Channel M515 Black,Litware,Edo
2724,05-12-12,480.5741196,569,10,4805.741196,Litware Home Theater System 5.1 Channel M515 Black,Litware,Niger
45,2/27/2014,148.7670882,579,9,1338.903793,Litware Home Theater System 5.1 Channel M516 Black,Litware ,Kogi
2545,10-09-13,522.6219964,579,8,4180.975972,Litware Home Theater System 5.1 Channel M516 Black,Litware ,Nasarawa
2649,1/29/2013,87.64923231,299,9,788.8430908,Litware Home Theater System 2.1 Channel E210 Silver,Litware ,Imo
3370,3/30/2014,8.860613872,12.99,20,177.2122774,Litware Home Theater System 5.1 Channel M510 Silver,Litware ,Ondo
3135,9/21/2012,229.0559401,269.9,5,1145.2797,Litware Home Theater System 2.1 Channel E211 Silver,Litware ,Anambra
868,07-09-12,147.3277734,299.9,5,736.638867,Litware Home Theater System 2.1 Channel E212 Silver,Litware ,Kano
1769,7/22/2012,77.75344128,299.9,5,388.7672064,Litware Home Theater System 2.1 Channel E212 Silver,Litware ,Katsina
7435,7/22/2013,98.41626862,569,12,1180.995223,Litware Home Theater System 4.1 Channel M412 Silver,Litware ,Niger
2949,9/21/2014,251.3061152,569,10,2513.061152,Litware Home Theater System 4.1 Channel M412 Silver,Litware ,Osun
2008,08-01-13,213.0845296,549,12,2557.014355,Litware Home Theater System 4.1 Channel M413 Silver,Litware,Osun
1786,11/14/2013,102.8436447,699,8,822.7491579,Litware Home Theater System 5.1 Channel M512 Silver,Litware ,Adamawa
1917,12/27/2013,9.014828092,699,8,72.11862474,Litware Home Theater System 5.1 Channel M512 Silver,Litware ,Kano
1845,11-01-13,280.7744711,599,13,3650.068124,Litware Home Theater System 5.1 Channel M514 Silver,Litware ,Zamfara 
2493,3/20/2014,418.6223448,569,10,4186.223448,Litware Home Theater System 5.1 Channel M515 Silver,Litware,Ondo
456,11/17/2012,326.0300238,579,8,2608.240191,Litware Home Theater System 5.1 Channel M516 Silver,Litware ,Osun
3060,12-03-12,5.728561574,579,13,74.47130046,Litware Home Theater System 5.1 Channel M516 Silver,Litware ,Jigawa
7553,07-10-14,267.565882,599,12,3210.790584,Litware Home Theater System 4.1 Channel M410 Brown,Litware,Kano
800,7/21/2014,482.4561935,599,12,5789.474323,Litware Home Theater System 4.1 Channel M410 Brown,Litware,Kebbi
1809,07-03-13,519.3672377,599,12,6232.406852,Litware Home Theater System 4.1 Channel M410 Brown,Litware,Osun
2358,3/30/2012,59.51462961,59.99,5,297.5731481,Litware Home Theater System 5.1 Channel M511 Brown,Litware ,Ekiti
316,03-01-13,243.3360288,299,9,2190.024259,Litware Home Theater System 2.1 Channel E210 Brown,Litware ,Osun
2602,9/14/2012,264.1205546,269.9,5,1320.602773,Litware Home Theater System 2.1 Channel E211 Brown,Litware ,Katsina
7320,3/30/2012,451.1821852,689,24,10828.37244,Litware Home Theater System 5.1 Channel M513 Brown,Litware ,Katsina
7732,5/30/2012,409.5050254,689,10,4095.050254,Litware Home Theater System 5.1 Channel M513 Brown,Litware ,Edo
633,3/20/2012,518.8714549,689,10,5188.714549,Litware Home Theater System 5.1 Channel M513 Brown,Litware ,Edo
1426,8/25/2012,176.3135924,689,12,2115.763109,Litware Home Theater System 5.1 Channel M513 Brown,Litware ,Kano
2531,2/25/2013,226.828617,799,12,2721.943404,Litware Home Theater System 7.1 Channel M710 Brown,Litware ,Borno
2017,05-03-14,704.1995855,1109,6,4225.197513,Litware Home Theater System 7.1 Channel X711 Brown,Litware ,Gombe
1720,05-08-13,289.2984986,599,10,2892.984986,Litware Home Theater System 5.1 Channel M514 Brown,Litware ,Nasarawa
2047,03-12-13,382.8271895,599,10,3828.271895,Litware Home Theater System 5.1 Channel M514 Brown,Litware ,Akwa Ibom
2294,10/18/2013,411.2295797,599,13,5345.984536,Litware Home Theater System 5.1 Channel M514 Brown,Litware ,Oyo
2518,4/24/2014,357.4518199,599,10,3574.518199,Litware Home Theater System 5.1 Channel M514 Brown,Litware ,Taraba
1206,9/18/2013,200.9332381,299,10,2009.332381,Contoso Home Theater System 2.1 Channel E1200 Black,Contoso,Delta
1372,06-07-12,238.8527988,299,6,1433.116793,Contoso Home Theater System 2.1 Channel E1200 Black,Contoso,Adamawa
1984,04-04-12,287.68879,299,15,4315.33185,Contoso Home Theater System 2.1 Channel E1200 Black,Contoso,Anambra
1678,02-07-13,536.9065037,889,12,6442.878044,Contoso Home Theater System 7.1 Channel M1700 Black,Contoso,Osun
88,09-01-12,117.203474,409,12,1406.441688,Contoso Home Theater System 4.1 Channel M1400 Black,Contoso,Anambra
970,09-05-14,170.0771906,409,8,1360.617525,Contoso Home Theater System 4.1 Channel M1400 Black,Contoso,Kwara
7406,8/23/2012,207.0559374,429,12,2484.671249,Contoso Home Theater System 5.1 Channel M1500 Black,Contoso,Kwara
3105,04-02-12,111.6891298,429,12,1340.269558,Contoso Home Theater System 5.1 Channel M1500 Black,Contoso,Ekiti
2523,04-04-12,32.98138916,329,10,329.8138916,Contoso Home Theater System 4.1 Channel M1410 Black,Contoso,Gombe
7427,08-06-14,219.219008,339,36,7891.884289,Contoso Home Theater System 5.1 Channel M1520 Black,Contoso,Niger
235,8/30/2012,265.3257116,399,9,2387.931404,Contoso Home Theater System 5.1 Channel M1530 Black,Contoso,Bayelsa
2240,05-09-13,185.7079464,399,10,1857.079464,Contoso Home Theater System 5.1 Channel M1530 Black,Contoso,Ondo
2866,06-09-13,5.44077354,199,12,65.28928248,Contoso Home Theater System 2.1 Channel E1220 Black,Contoso,Cross River
1098,12/21/2011,106.2768573,299,4,425.1074292,Contoso Home Theater System 2.1 Channel E1200 Silver,Contoso,Cross River
2060,01-04-12,230.730508,299,6,1384.383048,Contoso Home Theater System 2.1 Channel E1200 Silver,Contoso,Niger
3186,1/26/2012,229.5121199,329,9,2065.609079,Contoso Home Theater System 2.1 Channel M1210 Silver,Contoso,Zamfara 
1199,9/16/2013,45.06018591,889,10,450.6018591,Contoso Home Theater System 7.1 Channel M1700 Silver,Contoso,Edo
1314,9/19/2012,342.9698907,429,10,3429.698907,Contoso Home Theater System 5.1 Channel M1500 Silver,Contoso,Plateau
2494,3/19/2014,338.1855275,429,12,4058.22633,Contoso Home Theater System 5.1 Channel M1500 Silver,Contoso,Abia
1054,1/30/2013,287.1988213,339,9,2584.789392,Contoso Home Theater System 5.1 Channel M1520 Silver,Contoso,Sokoto
1668,8/30/2014,111.0289533,199,20,2220.579065,Contoso Home Theater System 2.1 Channel E1220 Silver,Contoso,Osun
1701,3/14/2012,163.401615,199,5,817.0080752,Contoso Home Theater System 2.1 Channel E1220 Silver,Contoso,Adamawa
7554,9/28/2013,58.18573526,480,10,581.8573526,Contoso Home Theater System 4.1 Channel M1420 Silver,Contoso,Bauchi
503,07-03-14,279.0337973,480,10,2790.337973,Contoso Home Theater System 4.1 Channel M1420 Silver,Contoso,Nasarawa
610,7/22/2012,135.3889532,329,10,1353.889532,Contoso Home Theater System 2.1 Channel M1210 White,Contoso,Katsina
1683,6/16/2013,80.44890604,329,12,965.3868725,Contoso Home Theater System 2.1 Channel M1210 White,Contoso,Plateau
2768,06-09-14,503.9164936,889,12,6046.997924,Contoso Home Theater System 7.1 Channel M1700 White,Contoso,Borno
3054,02-10-12,291.967198,889,9,2627.704782,Contoso Home Theater System 7.1 Channel M1700 White,Contoso,Ondo
640,4/29/2012,411.5262451,409,12,4938.314941,Contoso Home Theater System 4.1 Channel M1400 White,Contoso,Rivers
1908,5/29/2012,235.5096374,409,10,2355.096374,Contoso Home Theater System 4.1 Channel M1400 White,Contoso,Enugu
7499,05-08-12,206.5470651,429,10,2065.470651,Contoso Home Theater System 5.1 Channel M1500 White,Contoso,Akwa Ibom
428,12/25/2011,255.2867861,429,9,2297.581075,Contoso Home Theater System 5.1 Channel M1500 White,Contoso,Ebonyi
2579,9/26/2014,64.34263234,489,10,643.4263234,Contoso Home Theater System 5.1 Channel M1510 White,Contoso,Bauchi
2439,8/28/2014,113.0130098,329,12,1356.156118,Contoso Home Theater System 4.1 Channel M1410 White,Contoso,Ogun
2854,3/13/2012,212.9263838,329,10,2129.263838,Contoso Home Theater System 4.1 Channel M1410 White,Contoso,Nasarawa
1100,1/24/2014,160.4659924,399,9,1444.193932,Contoso Home Theater System 5.1 Channel M1530 White,Contoso,Osun
1499,8/19/2012,325.1224269,399,12,3901.469123,Contoso Home Theater System 5.1 Channel M1530 White,Contoso,Anambra
2283,11/13/2013,206.1863084,399,26,5360.844018,Contoso Home Theater System 5.1 Channel M1530 White,Contoso,Katsina
3356,01-01-13,269.093955,399,18,4843.69119,Contoso Home Theater System 5.1 Channel M1530 White,Contoso,Enugu
3364,5/31/2013,25.92101966,255,12,311.0522359,Contoso Home Theater System 2.1 Channel E1220 White,Contoso,Enugu
2942,09-09-13,481.9568509,529,10,4819.568509,Contoso Home Theater System 5.1 Channel M1540 White,Contoso,Taraba
413,11/23/2012,381.0311069,480,26,9906.808778,Contoso Home Theater System 4.1 Channel M1420 White,Contoso,Kwara
3149,3/17/2012,318.8699977,480,10,3188.699977,Contoso Home Theater System 4.1 Channel M1420 White,Contoso,Kaduna
654,06-10-14,288.7563578,360,10,2887.563578,Contoso Home Theater System 2.1 Channel M1230 White,Contoso,Kwara
1061,2/22/2014,186.6436751,299,18,3359.586151,Contoso Home Theater System 2.1 Channel E1200 Brown,Contoso,Yobe
2618,12/20/2011,189.1381833,299,4,756.5527331,Contoso Home Theater System 2.1 Channel E1200 Brown,Contoso,Gombe
76,06-05-14,239.1830077,429,12,2870.196092,Contoso Home Theater System 5.1 Channel M1500 Brown,Contoso,Gombe
348,3/23/2014,263.9643556,429,10,2639.643556,Contoso Home Theater System 5.1 Channel M1500 Brown,Contoso,Ekiti
1348,8/25/2013,167.4148209,429,9,1506.733388,Contoso Home Theater System 5.1 Channel M1500 Brown,Contoso,Kogi
190,04-02-14,202.3801168,489,9,1821.421051,Contoso Home Theater System 5.1 Channel M1510 Brown,Contoso,Ondo
3015,2/22/2014,234.0216362,329,36,8424.778904,Contoso Home Theater System 4.1 Channel M1410 Brown,Contoso,Adamawa
852,2/27/2013,170.9344491,339,9,1538.410042,Contoso Home Theater System 5.1 Channel M1520 Brown,Contoso,Kwara
2002,05-04-14,9.880780372,339,12,118.5693645,Contoso Home Theater System 5.1 Channel M1520 Brown,Contoso,Kebbi
7283,09-11-14,71.95317328,199,16,1151.250772,Contoso Home Theater System 2.1 Channel E1220 Brown,Contoso,Abia
2808,7/28/2012,67.01267231,199,6,402.0760339,Contoso Home Theater System 2.1 Channel E1220 Brown,Contoso,FCT
2111,07-11-13,13.60682358,499,10,136.0682358,SV Car Video LCD7W M7081 Black,Southridge Video,Akwa Ibom
2694,08-02-13,235.6387574,499,12,2827.665088,SV Car Video LCD7W M7081 Black,Southridge Video,Anambra
2707,11/14/2013,428.4447934,499,13,5569.782314,SV Car Video LCD7W M7081 Black,Southridge Video,Anambra
3162,4/16/2012,304.9053418,499,10,3049.053418,SV Car Video LCD7W M7081 Black,Southridge Video,Kogi
7263,10-02-12,38.38022681,299,10,383.8022681,SV Car Video TFT7 M7000 Black,Southridge Video,Imo
7702,12/13/2011,188.2912786,299,8,1506.330229,SV Car Video TFT7 M7000 Black,Southridge Video,Borno
712,02-09-13,81.07279012,299,9,729.6551111,SV Car Video TFT7 M7000 Black,Southridge Video,Niger
7302,8/13/2012,34.95104844,279,5,174.7552422,SV Car Video TFT6.2W E6280 Black,Southridge Video,Plateau
859,1/19/2014,103.9002349,279,18,1870.204229,SV Car Video TFT6.2W E6280 Black,Southridge Video,Borno
2179,08-04-12,202.4396626,279,4,809.7586505,SV Car Video TFT6.2W E6280 Black,Southridge Video,Kogi
1526,9/30/2013,40.66231707,259,8,325.2985365,SV Car Video TFT6.2W E6281 Black,Southridge Video,Ekiti
1546,2/25/2014,22.25319896,259,18,400.5575813,SV Car Video TFT6.2W E6281 Black,Southridge Video,Kano
2991,11/17/2014,171.5977291,259,26,4461.540956,SV Car Video TFT6.2W E6281 Black,Southridge Video,Ondo
1520,8/28/2014,149.43991,269,24,3586.557839,SV Car Video TFT6.2W E6282 Black,Southridge Video,Imo
1636,11/27/2013,4.291979641,269,13,55.79573533,SV Car Video TFT6.2W E6282 Black,Southridge Video,Adamawa
7730,03-09-12,85.92053755,309,10,859.2053755,SV Car Video TFT7 M7001 Black,Southridge Video,Cross River
1733,5/26/2012,201.3857778,309,10,2013.857778,SV Car Video TFT7 M7001 Black,Southridge Video,FCT
7306,5/30/2014,171.1189823,199,40,6844.759291,SV Car Video AM/FM E1000 Black,Southridge Video,Anambra
132,11/24/2014,422.433376,869,6,2534.600256,SV Car Video LCD9.2W X9281 Black,Southridge Video,Lagos
1014,10/25/2012,452.1484608,699,13,5877.929991,SV Car Video LCD7W M7082 Black,Southridge Video,Abia
1196,10/14/2013,84.78916774,699,13,1102.259181,SV Car Video LCD7W M7082 Black,Southridge Video,Kaduna
1705,8/14/2012,624.2482968,699,9,5618.234672,SV Car Video LCD7W M7082 Black,Southridge Video,Kwara
303,5/20/2012,212.0361303,329,10,2120.361303,SV Car Video LCD7 M7001 Black,Southridge Video,Zamfara 
3183,6/26/2013,291.2617954,369,12,3495.141545,SV Car Video LCD7 M7002 Black,Southridge Video,Gombe
7460,1/14/2012,73.67593931,369,12,884.1112717,SV Car Video LCD7 M7003 Black,Southridge Video,Kwara
1804,4/30/2012,87.60769726,369,10,876.0769726,SV Car Video LCD7 M7003 Black,Southridge Video,Kaduna
2660,6/20/2014,201.0243267,369,12,2412.29192,SV Car Video LCD7 M7003 Black,Southridge Video,Ekiti
2693,03-09-13,107.7712191,369,10,1077.712191,SV Car Video LCD7 M7003 Black,Southridge Video,Taraba
2787,03-10-12,151.7688322,500,10,1517.688322,SV Car Video LCD7W M7080 Silver,Southridge Video,Gombe
7633,1/13/2013,135.7874704,499,9,1222.087233,SV Car Video LCD7W M7081 Silver,Southridge Video,Rivers
1004,03-01-14,395.2171344,499,12,4742.605613,SV Car Video LCD7W M7081 Silver,Southridge Video,Ondo
3111,01-06-14,152.4756668,499,36,5489.124005,SV Car Video LCD7W M7081 Silver,Southridge Video,Imo
2450,5/15/2012,9.69154378,299,10,96.9154378,SV Car Video TFT7 M7000 Silver,Southridge Video,Kaduna
2534,07-02-14,122.8750854,299,10,1228.750854,SV Car Video TFT7 M7000 Silver,Southridge Video,Osun
7362,12/25/2012,169.4445368,269,9,1525.000831,SV Car Video TFT6.2W E6282 Silver,Southridge Video,Akwa Ibom
7716,4/13/2013,212.0625736,269,10,2120.625736,SV Car Video TFT6.2W E6282 Silver,Southridge Video,Ebonyi
1410,12-07-12,70.28079057,309,13,913.6502774,SV Car Video TFT7 M7001 Silver,Southridge Video,Plateau
1933,03-09-14,56.10209873,309,12,673.2251848,SV Car Video TFT7 M7001 Silver,Southridge Video,Delta
2180,9/14/2012,41.26294998,309,10,412.6294998,SV Car Video TFT7 M7001 Silver,Southridge Video,Edo
2634,5/24/2013,87.83116551,309,12,1053.973986,SV Car Video TFT7 M7001 Silver,Southridge Video,Bauchi
991,9/18/2012,40.3898733,199,5,201.9493665,SV Car Video AM/FM E1000 Silver,Southridge Video,Nasarawa
2755,03-05-12,109.2224895,199,5,546.1124475,SV Car Video AM/FM E1000 Silver,Southridge Video,Cross River
7558,10/18/2012,217.653844,319,13,2829.499972,SV Car Video TFT7 M7002 Silver,Southridge Video,Benue
1284,5/19/2012,90.01856104,319,10,900.1856104,SV Car Video TFT7 M7002 Silver,Southridge Video,Ondo
1767,01-12-13,75.99620992,319,9,683.9658893,SV Car Video TFT7 M7002 Silver,Southridge Video,Plateau
2012,03-01-13,414.0846247,869,9,3726.761623,SV Car Video LCD9.2W X9281 Silver,Southridge Video,Delta
2195,12/13/2013,59.66167661,77.68,18,1073.910179,SV Car Video LCD7 M7002 Silver,Southridge Video,Abia
1863,2/24/2012,312.1397673,369,12,3745.677208,SV Car Video LCD7 M7003 Silver,Southridge Video,Ondo
3032,5/20/2014,337.0867833,369,12,4045.041399,SV Car Video LCD7 M7003 Silver,Southridge Video,Bayelsa
7589,5/31/2012,98.24207263,499,10,982.4207263,SV Car Video LCD7W M7081 Brown,Southridge Video,Ogun
1659,12-11-11,168.2779541,499,36,6058.006349,SV Car Video LCD7W M7081 Brown,Southridge Video,Oyo
2239,11/25/2012,256.6289123,499,8,2053.031298,SV Car Video LCD7W M7081 Brown,Southridge Video,Edo
2730,12/21/2013,154.7572807,499,13,2011.844649,SV Car Video LCD7W M7081 Brown,Southridge Video,Gombe
2750,11/26/2014,148.4242099,499,13,1929.514729,SV Car Video LCD7W M7081 Brown,Southridge Video,Bayelsa
2257,12/31/2011,216.4000667,299,9,1947.6006,SV Car Video TFT7 M7000 Brown,Southridge Video,Benue
7307,11-01-14,2.634697265,279,26,68.50212889,SV Car Video TFT6.2W E6280 Brown,Southridge Video,Bayelsa
2223,4/16/2012,151.8150948,279,5,759.0754739,SV Car Video TFT6.2W E6280 Brown,Southridge Video,Zamfara 
3328,4/23/2012,4.203268542,259,5,21.01634271,SV Car Video TFT6.2W E6281 Brown,Southridge Video,Plateau
7372,05-07-12,14.51018752,269,5,72.55093762,SV Car Video TFT6.2W E6282 Brown,Southridge Video,Osun
